Bus
Report_Generated_By,Number,Name,PU Volt,Angle (Deg)
ESA++,1,ALOHA138,0.993545,-1.119907
ESA++,2,ALOHA69,0.991225,-3.927372
ESA++,3,FLOWER69,0.984548,-4.731145
ESA++,4,WAVE69,0.978800,-5.745870
ESA++,5,HONOLULU138,0.988985,-2.069792
ESA++,6,HONOLULU69,0.981206,-5.528160
ESA++,7,SURF69,0.980583,-5.671337
ESA++,8,KANEOHE69,0.978619,-5.702381
ESA++,9,TURTLE138,0.986768,-2.548359
ESA++,10,TURTLE69,0.980941,-5.651960
ESA++,11,MAHALO69,0.974911,-6.522955
ESA++,12,LYCHEE69,0.977327,-6.198354
ESA++,13,COCONUT69,0.978953,-6.094816
ESA++,14,KAILUA138,0.983764,-3.136205
ESA++,15,KAILUA69,0.978631,-6.029763
ESA++,16,PALM69,0.982187,-6.456032
ESA++,17,WAIMANALO69,0.975496,-6.981904
ESA++,18,VOLCANO69,0.975960,-7.121150
ESA++,19,PEARL CITY69,0.991304,-3.514221
ESA++,20,MILILANI69,0.989660,-1.963951
ESA++,21,AIEA69,0.979942,-5.268157
ESA++,22,WAIPAHU138,0.996397,-0.844548
ESA++,23,WAIPAHU69,1.000000,-2.106015
ESA++,24,KAPOLEI69,0.993402,-3.706851
ESA++,25,EWA BEACH138,0.996614,-0.528763
ESA++,26,EWA BEACH69,0.995105,-3.596866
ESA++,27,KAHUKU69,1.003416,1.362694
ESA++,28,HALEIWA69,1.000000,0.234055
ESA++,29,LAIE69,0.995383,-0.097274
ESA++,30,WAHIAWA69,0.995798,-0.422344
ESA++,31,WAIALUA69,0.995215,-2.101776
ESA++,32,HAUULA69,0.991217,-1.321157
ESA++,33,WAIANAE69,0.995652,-3.050368
ESA++,34,SCHOFIELD69,1.000000,-2.084231
ESA++,35,KALAELOA138,1.000000,0.376390
ESA++,36,COGEN69,0.996572,-3.565242
ESA++,37,KAHE138,1.000000,0.251430
